sample-id	forward-absolute-filepath	reverse-absolute-filepath
SRR7182193	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182193_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182193_2.fastq.gz
SRR7182194	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182194_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182194_2.fastq.gz
SRR7182195	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182195_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182195_2.fastq.gz
SRR7182196	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182196_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182196_2.fastq.gz
SRR7182197	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182197_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182197_2.fastq.gz
SRR7182198	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182198_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182198_2.fastq.gz
SRR7182199	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182199_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182199_2.fastq.gz
SRR7182200	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182200_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182200_2.fastq.gz
SRR7182203	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182203_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182203_2.fastq.gz
SRR7182205	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182205_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182205_2.fastq.gz
SRR7182207	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182207_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182207_2.fastq.gz
SRR7182209	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182209_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182209_2.fastq.gz
SRR7182210	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182210_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182210_2.fastq.gz
SRR7182211	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182211_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182211_2.fastq.gz
SRR7182213	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182213_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182213_2.fastq.gz
SRR7182214	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182214_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182214_2.fastq.gz
SRR7182215	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182215_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182215_2.fastq.gz
